name,ring,index,original,width,height,focal_mm,f_number,lens,iso,exposure_s,sha256
high_001.jpg,high,1,data/High ring/1.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,7751b26038708b8c1e350b83a3b96fab5c386009ba6598364b5046d480006268
high_002.jpg,high,2,data/High ring/2.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,311e08ef2d87109816be1ac6bc885ef96ad2855db403ae5211e46f443f0e2859
high_003.jpg,high,3,data/High ring/3.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,605f7cc2c9278fb17c096565b0703b242d4d7639d7c938698def5bd16220f93d
high_004.jpg,high,4,data/High ring/4.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,a9312808aacbedc6fc6a831c7fe51e211e83f308f656d916a25a5cec9779fefd
high_005.jpg,high,5,data/High ring/5.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,5203efd3e1162af1fb807108d8a879095644b9c6baf0d7bbe14ecbdb3633b8c0
high_006.jpg,high,6,data/High ring/6.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,20b503ba78482b765ab1664b5ee3b504aa898562e6fc7cc83975313a64870fbc
high_007.jpg,high,7,data/High ring/7.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,33e374b765081d8f8e5f685219f263f90ec644987e1c9ec5ebe02e621079d734
high_008.jpg,high,8,data/High ring/8.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,0f572dbb3d36c95e99b4b0efaa9d860fe2ff3a8f9a8a1e3841ed5296aaaa6859
high_009.jpg,high,9,data/High ring/9.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,102f6af94e3058a35d21b1f0253a8993859ca324619eb2f908ae7ce3b137dbfb
high_010.jpg,high,10,data/High ring/10.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,250,0.01694915254237288,e6f1e559e63265d429434a36b4cf1700618ba5d4b1d3eed1949a1e375183bafe
high_011.jpg,high,11,data/High ring/10jpeg.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,ffc62c30d01e50bbb9303a870b0661f750727f40b5c5549ca0c82fdb5496a569
high_012.jpg,high,12,data/High ring/11.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,aa59586873fc499fc7857a4f46d2fcf3d9acaa24174e1c94b8e73128c82431d4
high_013.jpg,high,13,data/High ring/12.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,e61193177326aa39bff481bee938542b26b97c53f76c52a3c3379ec5cf1ef843
high_014.jpg,high,14,data/High ring/13.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,400,0.01694915254237288,063a647799a18ab34fcdf922cfa26a68a1a434d4978f79423d1beee97f845c36
high_015.jpg,high,15,data/High ring/14.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,400,0.01694915254237288,d93e22cd929b5d29662e5019ca55c5a96999482988d0251eddd896e35cf3a853
high_016.jpg,high,16,data/High ring/15.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,400,0.01694915254237288,bc95643184788a1346181bec4a9272d91229181ddd4cb4ca2479d6dee994db35
high_017.jpg,high,17,data/High ring/16.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,478f09c557636e4c21cc8a9c2c8db8d94636e2e87ce9896bdd0513331fcb8ea2
high_018.jpg,high,18,data/High ring/17.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,250,0.01694915254237288,7889a4f07af7a504585257a0594cc9432da0c349a5d3e4e602fb8123e7001c8d
high_019.jpg,high,19,data/High ring/18.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,250,0.01694915254237288,3969b32371297ea7129996c5cb0e9366295aae86278018a03baa749ab069ce29
high_020.jpg,high,20,data/High ring/19.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,250,0.01694915254237288,42aa37e5044642d419313b42893849df36f5125f9409d58535da6cfe7ded4fd6
high_021.jpg,high,21,data/High ring/20.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,5f72c378ec9f456f7341288c554296b4d5961cea9352b942f58ba4623a00dc04
high_022.jpg,high,22,data/High ring/21.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,193230fcae54744d42f4bc1894618b3decb792c92e5c25ea569c23992c7a4c8e
high_023.jpg,high,23,data/High ring/22.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,987733710aa466a6492d0f6441f221b6df168d882cdb75d0976bf5b562c6554d
high_024.jpg,high,24,data/High ring/23.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,400,0.01694915254237288,ba2561c26c941a83714dc5f75d11f4be0e14035b294923fd1920f6eca781849f
low_001.jpg,low,1,data/Low ring/00.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,e8e24d4c8cafd169f47fe4e02ae8fd590d1fbaa7980e91a5a9fa80d69b5c590e
low_002.jpg,low,2,data/Low ring/10.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,400,0.01694915254237288,2a5e80837f29f2631295e6c51fe19d5172a1aff98045402f3edc00880c4fa79e
low_003.jpg,low,3,data/Low ring/20.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,2c888f2792a102b1db6d0a304bf9a96384d8aaca91844c3dd0d6e57a10aca8d2
low_004.jpg,low,4,data/Low ring/30.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,400,0.01694915254237288,bdf6452006d660855d0b0e0c5b900cd09b99e05bda81902699960e18bd070680
low_005.jpg,low,5,data/Low ring/40.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,ae45f20375b4cc3bcba7e9e3b633389d48316536ec66dee5206da7383278500b
low_006.jpg,low,6,data/Low ring/50.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,400,0.01694915254237288,f44b0469e468d91f62d5d348a255b47c75e9479163bb3e60f9dc4a0263d320e5
low_007.jpg,low,7,data/Low ring/60.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,400,0.01694915254237288,d99afa42d511884cd991bb36ceae4046d242f4f13a4640f0b50a5134e86272b3
low_008.jpg,low,8,data/Low ring/70.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,500,0.01694915254237288,2a1b9ca2bce1f899339612668b56ba5b806f549265eacce4d0d7cfe6c18fdfde
low_009.jpg,low,9,data/Low ring/80.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,500,0.01694915254237288,a48f1b4e628cd29e4f6221983f61bdbb9d32141742da6bc00a5b53120a53b39b
low_010.jpg,low,10,data/Low ring/90.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,500,0.01694915254237288,08fd98eb94b72a88ade36d7511d0c395f9bf5271b05fcf4840571265a1e0f2fe
low_011.jpg,low,11,data/Low ring/100.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,500,0.01694915254237288,762c75d0e53a08f3f1e55486dc8998bf7bc44a9c9853dfccae1757b833cdf910
low_012.jpg,low,12,data/Low ring/110.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,400,0.01694915254237288,11188a2434afed4d3f700120a012411714e90c0d98c8c5d4d18c4845ac7197b2
low_013.jpg,low,13,data/Low ring/120.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,b447bd5f0dfc2176e402b6a94ff26d39d3c9a031b53e24b79d9192158fb2b621
low_014.jpg,low,14,data/Low ring/130.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,320,0.020833333333333332,27c4668d027964a0576706947da4846a8b0e2d3a1bf3ec9e38663ecaedfdf48b
low_015.jpg,low,15,data/Low ring/140.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,320,0.01694915254237288,943f1608a6f43177bf7835930013a693191660c27f08292079f68d9155373dcc
low_016.jpg,low,16,data/Low ring/150.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,250,0.01694915254237288,ebfb40d989fe0199b7abebaf1e2da4deb097374eaa08756fb63ca71c84d15a2a
low_017.jpg,low,17,data/Low ring/160.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,50d8eaaba1e5fc355b3995a96c0bfd221d10678abf07fc0a4490e1bb305d5cb5
low_018.jpg,low,18,data/Low ring/170.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,2278422ee073e367f6a1c3d196d9d97c2ee5db6b43e522568870f027d6c44606
low_019.jpg,low,19,data/Low ring/180.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,400,0.01694915254237288,1ee5a79f03e228f3bad24620057670d96c9bf156364723467790f9e361573459
mid_001.jpg,mid,1,data/Middle ring/0.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,e714891748b060b5e96175af1f931627836826b43b00dae8ef6be483b20c77d4
mid_002.jpg,mid,2,data/Middle ring/1.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,47985debd4535dc1394bd5a0add4dd7a65861b2602922ce610b2cd061881b12e
mid_003.jpg,mid,3,data/Middle ring/2.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,269c5e566ec60dc2ded9515603d417f72bfeef25bb18049a2abb9fa01a232631
mid_004.jpg,mid,4,data/Middle ring/3.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,5a44ce49d5eb4fcedf849fe1a7c759e2bf0bf9b50d9d694ea015f27b0151e5db
mid_005.jpg,mid,5,data/Middle ring/4.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,8e0351adde6d94a59162c0a51f3f1ec6b903d2eaf08e70587f2f9c22fd4736a7
mid_006.jpg,mid,6,data/Middle ring/5.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,5fcd1a01a09e53032bb99317c1cb3c4668310b455be3dbec23b4d600d5523c2b
mid_007.jpg,mid,7,data/Middle ring/6.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,4842b9758cb22381afa681945713a5846c6a7701469fd78fc673e38d78d1ced6
mid_008.jpg,mid,8,data/Middle ring/7.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,17ba148a2edb857df26ff4fb7f6dd0887430a089bc7966ba2f2cd19d392225a1
mid_009.jpg,mid,9,data/Middle ring/8.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,bd38d9fbdf8686f240f06d0eef07b2250b16c93c2ee48f3dccd97c961e164380
mid_010.jpg,mid,10,data/Middle ring/9.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,5b2c1ddc0710b061e94601d470f8b6eec393d962d876004908818ab642d6b5ca
mid_011.jpg,mid,11,data/Middle ring/10.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,08a582c5618f2f2c25577be48f95e922e575979ff0a5bb92f07e8b3766c1ef68
mid_012.jpg,mid,12,data/Middle ring/11.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,644cbe0e238f2ebc711b4b84e0bc1b9585b0d50c80725f2edf0f86ab207f6740
mid_013.jpg,mid,13,data/Middle ring/12jpeg.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,eb4ab77cb5be595d2ae9fcf55b97f022e091f274a67b8f24d38f95fe3605e742
mid_014.jpg,mid,14,data/Middle ring/13.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,84dff5f7e48a536c8c3ee68cd3d4bd7ec3a96993ddafd086634778a80aeef8b6
mid_015.jpg,mid,15,data/Middle ring/14.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,3ed8efe7a4aa8ade3a922e684bc455463f553184b6c65cfc12341a82ed1dc00e
mid_016.jpg,mid,16,data/Middle ring/15.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,5fadc2cf015fa91452b25447fb92a42339237c41b5e4523255ffe2cd3f82d95b
mid_017.jpg,mid,17,data/Middle ring/16.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,afa639a7ac4e70c2cc6dce50648c2dea646a1a1af7dfcc5fe2da1f7d8c2ec59a
