name,ring,split,azimuth_deg,elevation_deg,sha256
high_001.jpg,high,train,177.54,47.56,7751b26038708b8c1e350b83a3b96fab5c386009ba6598364b5046d480006268
high_002.jpg,high,train,161.41,43.6,311e08ef2d87109816be1ac6bc885ef96ad2855db403ae5211e46f443f0e2859
high_003.jpg,high,train,148.05,41.8,605f7cc2c9278fb17c096565b0703b242d4d7639d7c938698def5bd16220f93d
high_004.jpg,high,holdout,141.57,42.88,a9312808aacbedc6fc6a831c7fe51e211e83f308f656d916a25a5cec9779fefd
high_005.jpg,high,train,135.56,42.28,5203efd3e1162af1fb807108d8a879095644b9c6baf0d7bbe14ecbdb3633b8c0
high_006.jpg,high,train,114.3,48.02,20b503ba78482b765ab1664b5ee3b504aa898562e6fc7cc83975313a64870fbc
high_007.jpg,high,train,96.69,47.77,33e374b765081d8f8e5f685219f263f90ec644987e1c9ec5ebe02e621079d734
high_008.jpg,high,train,82.36,47.87,0f572dbb3d36c95e99b4b0efaa9d860fe2ff3a8f9a8a1e3841ed5296aaaa6859
high_009.jpg,high,train,69.93,45.91,102f6af94e3058a35d21b1f0253a8993859ca324619eb2f908ae7ce3b137dbfb
high_010.jpg,high,train,60.8,38.94,e6f1e559e63265d429434a36b4cf1700618ba5d4b1d3eed1949a1e375183bafe
high_011.jpg,high,train,192.33,50.89,ffc62c30d01e50bbb9303a870b0661f750727f40b5c5549ca0c82fdb5496a569
high_012.jpg,high,train,47.17,42.99,aa59586873fc499fc7857a4f46d2fcf3d9acaa24174e1c94b8e73128c82431d4
high_013.jpg,high,holdout,31.94,42.21,e61193177326aa39bff481bee938542b26b97c53f76c52a3c3379ec5cf1ef843
high_014.jpg,high,train,356.72,50.64,063a647799a18ab34fcdf922cfa26a68a1a434d4978f79423d1beee97f845c36
high_015.jpg,high,train,338.41,52.03,d93e22cd929b5d29662e5019ca55c5a96999482988d0251eddd896e35cf3a853
high_016.jpg,high,train,325.69,51.58,bc95643184788a1346181bec4a9272d91229181ddd4cb4ca2479d6dee994db35
high_017.jpg,high,train,320.83,48.49,478f09c557636e4c21cc8a9c2c8db8d94636e2e87ce9896bdd0513331fcb8ea2
high_018.jpg,high,train,304.01,52.84,7889a4f07af7a504585257a0594cc9432da0c349a5d3e4e602fb8123e7001c8d
high_019.jpg,high,train,289.81,53.08,3969b32371297ea7129996c5cb0e9366295aae86278018a03baa749ab069ce29
high_020.jpg,high,train,260.69,52.0,42aa37e5044642d419313b42893849df36f5125f9409d58535da6cfe7ded4fd6
high_021.jpg,high,holdout,243.72,45.78,5f72c378ec9f456f7341288c554296b4d5961cea9352b942f58ba4623a00dc04
high_022.jpg,high,train,238.36,36.69,193230fcae54744d42f4bc1894618b3decb792c92e5c25ea569c23992c7a4c8e
high_023.jpg,high,train,221.76,37.95,987733710aa466a6492d0f6441f221b6df168d882cdb75d0976bf5b562c6554d
high_024.jpg,high,train,212.11,40.68,ba2561c26c941a83714dc5f75d11f4be0e14035b294923fd1920f6eca781849f
low_001.jpg,low,train,197.21,24.44,e8e24d4c8cafd169f47fe4e02ae8fd590d1fbaa7980e91a5a9fa80d69b5c590e
low_002.jpg,low,train,181.56,12.57,2a5e80837f29f2631295e6c51fe19d5172a1aff98045402f3edc00880c4fa79e
low_003.jpg,low,train,167.13,11.04,2c888f2792a102b1db6d0a304bf9a96384d8aaca91844c3dd0d6e57a10aca8d2
low_004.jpg,low,holdout,152.54,11.31,bdf6452006d660855d0b0e0c5b900cd09b99e05bda81902699960e18bd070680
low_005.jpg,low,train,128.67,8.78,ae45f20375b4cc3bcba7e9e3b633389d48316536ec66dee5206da7383278500b
