held_out_deg,captured_deg,delta_deg,psnr_render_db,ssim_render,psnr_baseline_db,ssim_baseline
10,0,10.0,15.1514,0.42667,15.1912,0.38438
30,20,10.0,15.6079,0.42147,16.3289,0.42996
50,40,10.0,15.7412,0.37851,16.6468,0.40772
70,60,10.0,14.6399,0.39646,14.2596,0.36078
90,80,10.0,12.7705,0.38367,11.9156,0.34401
110,100,10.0,13.4089,0.28557,13.131,0.27224
130,120,10.0,16.5155,0.40858,16.9558,0.39619
150,140,10.0,16.0606,0.41801,15.7868,0.38519
170,160,10.0,17.2458,0.50199,18.1755,0.4901
190,180,10.0,14.7858,0.39395,14.9096,0.40034
210,200,10.0,16.5445,0.42179,16.5048,0.39768
230,220,10.0,15.0044,0.3688,16.7663,0.3837
250,240,10.0,15.5897,0.39401,16.965,0.38663
270,260,10.0,12.9325,0.30853,12.4707,0.30611
290,280,10.0,15.8997,0.44709,14.6219,0.4147
310,300,10.0,12.0499,0.28532,11.9389,0.28142
330,320,10.0,15.4343,0.40571,15.6519,0.39372
350,0,-10.0,15.239,0.41044,15.8267,0.45539
