angle_deg,psnr_db,ssim
0,10.9844,0.23294
10,11.3634,0.24687
20,11.4822,0.24713
30,10.814,0.22152
40,10.4458,0.2072
50,10.3056,0.23988
60,9.2153,0.24505
70,9.7462,0.31688
80,10.3391,0.38781
90,10.5298,0.39471
100,9.7498,0.30991
110,9.1376,0.23209
120,9.9813,0.2677
130,10.3764,0.297
140,10.3914,0.306
150,10.5152,0.30824
160,10.6363,0.32888
170,10.5449,0.31873
180,10.0304,0.2226
190,10.2899,0.1936
200,10.6445,0.20699
210,10.7977,0.27102
220,10.8766,0.2655
230,10.3833,0.27589
240,10.498,0.29094
250,10.5794,0.29831
260,10.7076,0.3161
270,11.8294,0.39255
280,11.5394,0.38586
290,11.4557,0.33626
310,10.9961,0.28744
320,10.3094,0.25166
330,10.0785,0.23716
340,10.7647,0.2592
350,11.1619,0.25984
