held_out_deg,captured_deg,delta_deg,psnr_render_db,ssim_render,psnr_baseline_db,ssim_baseline
10,0,10.0,13.542,0.38778,15.1912,0.38438
30,20,10.0,13.1067,0.39138,16.3289,0.42996
50,40,10.0,12.957,0.34017,16.6468,0.40772
70,60,10.0,13.5797,0.37623,14.2596,0.36078
90,80,10.0,12.664,0.36547,11.9156,0.34401
110,100,10.0,11.528,0.25419,13.131,0.27224
130,120,10.0,13.6903,0.38262,16.9558,0.39619
150,140,10.0,13.456,0.38716,15.7868,0.38519
170,160,10.0,13.7981,0.45519,18.1755,0.4901
190,180,10.0,13.7443,0.39363,14.9096,0.40034
210,200,10.0,14.2934,0.42317,16.5048,0.39768
230,220,10.0,13.2552,0.33938,16.7663,0.3837
250,240,10.0,13.5934,0.36282,16.965,0.38663
270,260,10.0,13.0014,0.33597,12.4707,0.30611
290,280,10.0,13.8236,0.4115,14.6219,0.4147
320,310,10.0,13.4821,0.38022,18.6281,0.4976
340,330,10.0,13.8668,0.35824,14.0238,0.31419
