held_out_deg,captured_deg,delta_deg,psnr_render_db,ssim_render,psnr_baseline_db,ssim_baseline
10,0,10.0,13.542,0.38778,15.1912,0.38438
20,0,20.0,12.8441,0.35671,12.7816,0.31133
30,40,-10.0,13.3214,0.39837,14.8126,0.36915
50,40,10.0,12.957,0.34017,16.6468,0.40772
60,40,20.0,11.9675,0.29768,13.3922,0.31793
70,80,-10.0,11.3598,0.35202,12.676,0.36122
90,80,10.0,12.664,0.36547,11.9156,0.34401
100,80,20.0,11.8821,0.26952,11.4847,0.28781
110,120,-10.0,11.8556,0.26335,14.9048,0.30923
130,120,10.0,13.6903,0.38262,16.9558,0.39619
140,120,20.0,13.7576,0.38728,15.2577,0.35101
150,160,-10.0,13.1306,0.40446,17.0061,0.43391
170,160,10.0,13.7981,0.45519,18.1755,0.4901
180,160,20.0,11.8578,0.35172,12.1325,0.33291
190,200,-10.0,13.5911,0.43297,16.5516,0.43106
210,200,10.0,14.2934,0.42317,16.5048,0.39768
220,200,20.0,13.5527,0.34876,14.1227,0.33038
230,240,-10.0,12.7195,0.34945,17.7965,0.41595
250,240,10.0,13.5934,0.36282,16.965,0.38663
260,240,20.0,13.0526,0.32149,14.0438,0.31468
270,280,-10.0,14.7623,0.47656,15.5944,0.46002
290,280,10.0,13.8236,0.4115,14.6219,0.4147
310,330,-20.0,13.8616,0.35691,14.4639,0.36418
320,330,-10.0,14.3386,0.38261,15.6519,0.39372
340,330,10.0,13.8668,0.35824,14.0238,0.31419
350,0,-10.0,12.9778,0.38031,15.8267,0.45539
