held_out_deg,captured_deg,delta_deg,psnr_render_db,ssim_render,psnr_baseline_db,ssim_baseline
10,0,10.0,15.1514,0.42667,15.1912,0.38438
20,0,20.0,13.3601,0.36195,12.7816,0.31133
30,0,30.0,11.7055,0.30971,11.5948,0.2524
40,60,-20.0,14.1713,0.36075,13.3922,0.31793
50,60,-10.0,15.3734,0.38683,14.7078,0.351
70,60,10.0,14.6399,0.39646,14.2596,0.36078
80,60,20.0,12.1102,0.35392,11.0593,0.28653
90,60,30.0,10.1583,0.26018,9.3657,0.21268
100,120,-20.0,12.5822,0.29581,12.5147,0.27215
110,120,-10.0,13.9099,0.29072,14.9048,0.30923
130,120,10.0,16.5155,0.40858,16.9558,0.39619
140,120,20.0,15.9262,0.40917,15.2577,0.35101
150,120,30.0,14.7107,0.39951,13.4977,0.3007
160,180,-20.0,12.8836,0.36048,12.1325,0.33291
170,180,-10.0,12.6886,0.34193,12.3906,0.34377
190,180,10.0,14.7858,0.39395,14.9096,0.40034
200,180,20.0,14.0727,0.37065,13.2337,0.34088
210,180,30.0,12.6968,0.32501,12.1148,0.29333
220,240,-20.0,15.9686,0.37286,15.3936,0.34557
230,240,-10.0,16.8111,0.39052,17.7965,0.41595
250,240,10.0,15.5897,0.39401,16.965,0.38663
260,240,20.0,13.8807,0.32596,14.0438,0.31468
270,240,30.0,12.6918,0.32136,11.925,0.28406
280,310,-30.0,14.1044,0.41447,12.4777,0.30396
290,310,-20.0,15.5679,0.43679,14.814,0.38393
320,310,10.0,14.5657,0.35546,18.6281,0.4976
330,310,20.0,13.9657,0.37197,14.4639,0.36418
340,0,-20.0,12.0113,0.26959,11.5124,0.24784
350,0,-10.0,15.239,0.41044,15.8267,0.45539
